NO,ABSTRAK,,,,,
1,"Batik merupakan seni yang paling penting dalam kehidupan masyarakat Indonesia. Keanekaragaman batik berasal dari beberapa wilayah diseluruh indonesia sehingga menyimbolkan karakteristik ciri pola batik yang berbeda-beda dari masing-masing daerah tempat batik tumbuh dan berkembang. Tugas Akhir ini telah berhasil membuat suatu Sistem Perolehan Citra berbasis Isi (SPCI) dengan ciri tekstur yang bertujuan untuk mengetahui ciri dari pola batik tersebut. SPCI merupakan metode atau teknik pencarian gambar citra yang mirip (similar) dengan melakukan perbandingan antara citra query dengan citra yang ada dalam basis data. Pada Penelitian ini menggunakan ciri tekstur sebagai proses pencarian kemiripan dari delapan wilayah citra batik yang berbeda yaitu: Cirebon, Bali, Bangkalan, Pamekasan, Sumenep, Yogyakarta, Solo, dan Pekalongan sebagai obyek perolehan citra berbasis isi. Metode yang digunakan pada penelitian ini berbasis tekstur kasar atau lembut yaitu metode Wavelet Haar. Wavelet Haar merupakan metode dimana pada setiap citra didekomposisi menjadi 4 bagian yaitu LL, LH, HL, dan HH. Pada masing-masing bagian tersebut ditentukan nilainya. Sehingga dari hasil ekstraksi fitur akan dilakukan pengukuran kemiripan dengan citra basis data dengan menggunakan metode Euclidean Distance. Citra query dan citra basis data yang dipergunakan sebanyak 200 citra dengan delapan kelas citra didalamnya. Citra tertinggi dari hasil uji coba skenario-skenario pada penelitian ini dapat diambil kesimpulan bahwa akurasi tertinggi ada pada kelas bangkalan, cirebon, pamekasan dan solo. Jumlah citra yang dihasilkan dari perhitungan akurasi adalah 8 citra yang mirip dari 10 citra terbaik yang ditampilkan berdasarkan fitur citra Roughness, yaitu fitur untuk mengetahui apakah sebuah tekstur tersebut kasar atau lembut. Dengan hasil nilai akurasi tertinggi sebesar 80 %.",,,,,
2,"Berwisata merupakan cara seseorang untuk menghilangkan kejenuhan terhadap rutinitas sehari-hari serta dapat menambah pengetahuan. Namun banyaknya jalan raya pada saat ini terkadang menyulitkan seseorang untuk memilih jalan yang mempunyai jarak yang paling minimum sehingga mempengaruhi besarnya biaya yang dikeluarkan. Untuk itu diperlukan suatu sistem informasi yang mampu menemukan jalur minimum untuk menghemat waktu dengan memperhitungkan antara jarak dan kecepatan berkendara. Sistem ini dibuat dengan menggunakan metode algoritma dijkstra dan berbasis Web. Untuk penggambaran jalur yang dilalui menggunakan google maps sehingga hasilnya lebih akurat. Agar tujuan yang ingin di capai berhasil dan sesuai dengan yang di inginkan maka aplikasi ini di bandingkan dengan jalur yang biasa dilalui oleh Biro Perjalanan Wisata atau Travel dengan cara mengisi kuesioner pengujian sistem. Dari hasil uji coba yang dilakukan dapat diambil kesimpulan bahwa metode Algoritma Dijkstra dapat digunakan untuk proses pencarian jalur minimum lebih dari satu tujuan. Dari lima skenario uji coba yang di ujikan untuk dua travel, hanya ada satu rute yang berbeda di setiap travel.",,,,,
3,"Content Based Image Retrieval (CBIR) merupakan sistem pencarian citra menggunakan citra sebagai query yang di cocokan melalui proses similarity dengan citra yang ada di database. Fitur utama yang dimanfaatkan pada image retrieval sebagai query meliputi fitur warna, tekstur, dan shape. Ketiga fitur tersebut dapat digunakan untuk mencari citra yang diinginkan. Dalam penelitian Tugas Akhir ini, similarity atau kemiripan suatu citra query dibandingkan dengan citra pada database yang telah di-training sebelumnya menggunakan fitur warna. Hal ini dikarenakan fitur warna lebih mudah untuk diidentifikasi terhadap suatu citra. Pada penelitian ini menggunakan metode ekstraksi fitur Color Co-occurrence Matrix (CCM) dan similarity Modified Color Co-occurrence Matrix (MCCM) untuk menentukan kemiripan suatu citra batik. Pengujian dilakukan dengan menggunakan lima skenario yang berbeda dengan mengubah nilai kuantisasi hue dari citra. Kuantisasi yang dilakukan pada penelitian ini menggunakan kuantisasi hue 6, kuantisasi hue 12, kuantisasi hue 18, kuantisasi hue 24, dan kuantisasi hue 30. Dari lima skenario yang dilakukan akurasi tertinggi terdapat pada skenario ke lima yaitu menggunakan kuantisasi hue 30 dengan hasil akurasi 62% untuk Color Co-occurrence Matrix, dan 65% untuk Modified Color Co-occurrence Matrix.",,,,,
4,"Citra senyum merupakan salah satu fitur biometrik yang dapat dijadikan sebagai bukti autentik dari seseorang. Sistem pengenalan pola (pattern recognition) secara komputerisasi, akan mengetahui identitas atau ciri diri seseorang. Pengenalan senyum telah banyak diteliti oleh banyak kalangan. Salah satu bentuk penerapan pengenalan pola senyum ini adalah mengetahui senyum seseorang sehingga nantinya senyum tersebut dapat dikenali oleh komputer dan disimpan dalam database. Terdapat dua cara untuk menentukan pola senyuman yaitu secara manual dan otomatis. Secara manual dapat dilakukan dengan kasat mata, sedangkan secara otomatis dapat di tentukan dengan menggunakan suatu sistem. Pada Tugas Akhir ini, mengidentifikasi senyuman secara otomatis digunakan metode Principal Component Analysis (PCA) dan Linier Descriminant Analysis (LDA), dimana jenis senyuman pada tugas akhir ini dibagi menjadi lima bagian, yaitu senyum manis, senyum mengejek, senyum yang dipaksakan, senyum tertutup dan senyum terbuka. Penggunaan metode ekstraksi fitur yang tepat dan efisien sangat menentukan keberhasilan dari sistem pengenalan pola secara keseluruhan. Untuk metode klasifikasi pengenalan pola menggunakan Euclidean Distance atau Manhattan Distance. Dari hasil uji coba menggunakan 175 gambar data pelatihan didapatkan tingkat akurasi PCA adalah 89.8% pada ordered3. Sedangkan hasil uji coba menggunakan PCA & LDA didapatkan tingkat akurasi 100% pada ordered3.",,,,,
5,"Pengenalan ekspresi wajah merupakan pengembangan dari pengenalan wajah dalam lingkungan pengenalan pola (feature recognition). Penelitian tentang pengenalan ekspresi wajah sangat bermanfaat pada berbagai bidang, contohnya pada bidang interaksi manusia dan komputer, dalam hal ini komputer mengenali ekspresi wajah pengguna, kemudian komputer secara terprogram dan melakukan intruksi yang sesuai dengan ekspresi wajah pengguna. Pada penelitian ini menggunakan database JAFFE (Japanese Female Facial Expression) dengan 7 macam ekspresi dari 10 wanita Jepang dan masing-masing ekspresi ada 30 pose dengan ukuran dimensi citra 256 x 256 piksel. Penelitian ini bertujuan untuk membangun sistem pengenalan ekspresi wajah menggunakan metode ekstraksi fitur Two Dimensional Linear Discriminant Analysis Modification (Modifikasi 2DLDA), yang merupakan hasil pengembangan dari metode Two Dimensional Linear Discriminant Analysis (2DLDA) sedangkan 2DLDA adalah pengembangan dari metode Linear Discriminant Analysis (LDA). Sedangkan untuk pengukuran kemiripan menggunakan metode Two Dimensional Correlation Coefficient yaitu dengan cara mengalikan bobot training dengan bobot testing dan membaginya dengan hasil akar dari bobot training yang dikalikan dengan bobot testing. Hasil uji coba dengan tingkat akurasi tertinggi adalah sebesar 90,48% pada skenario 5 sedangkan tingkat akurasi terendah 52,08% pada skenario 4.",,,,,
6,"Produk Olahraga merupakan salah satu bagian penting dalam organ-organ seorang atlit. Peningkatan jumlah penjualan produk yang tidak terduga menyebabkan kesulitan dalam pelayanan yang terbaik kepada konsumen. Demikian juga sebaliknya, apabila terjadi penurunan jumlah penjualan produk,maka akan menyebabkan inventorydi gudang. Oleh karena itu diperlukan sistem peramalan yang mampu meramalkan penjualan produk pada periode berikutnya. Sistem peramalan ini menggunakan metode Jaringan Syaraf Tiruan dengan algoritma Backpropagation dengan momentum untuk meramalkan jumlah penjualan produk pada bulan berikutnya. Data yang telah tersimpan dihitung menggunakan epoh dan learning rate yang berbeda. Dari hasil uji coba system, maka dapat disimpulkan bahwa dengan menggunakan semua data sebagai data training dan menggunakan learning rate 0.8 dan dengan epoh 18 akan menghasilkan tingkat kesalahan 56827.343. hasil ini menunjukkan hasil terbaik dari beberapa skenario ujicoba sistem, namum belum menunjukkan hasil terbaik dari skenario yang lain dengan meningkatkan epoch supaya mendapatkan hasil yang lebih baik.",,,,,
7,"Diagnosa penyakit mata dengan sistem informasi yang baik merupakan inti permasalahan pada penelitian ini. Diketahui pada studi kasus ini, dokter sebagai seorang pakar memiliki keterbatasan waktu dalam melayani pasien selama 24 jam, bahkan pada hari-hari selanjutnya. Dokter hanya bekerja tiga hari dalam satu minggu, dan 6 jam pada tiap kali melakukan pelayanan. Adanya asisten dokter juga belum dapat membantu pelayanan ini bekerja denga maksimal. Hal ini lah yang menjadi kurang maksimalnya peranan dokter bagi pasien. Terbatasnya keberadaaan dokter sebagai pakar dan minimnya waktu pelayanan dari dokter pada pasien nya serta minimnya pengetahuan seseorang terhadap gejala atas sakit yang dirasakan, sangat mendukung terdapatnya sistem yang mampu memberikan diagnosa dan solusi mengenai gejala yang diketahui. Berdasarkan hal tersebut, penelitian ini bertujuan untuk membuat aplikasi sistem pakar berbasis web, yang dapat mendiagnosa gejala penyakit pada mata. Metode yang digunakan dalam pengembangan aplikasi adalah Fuzzy Mamdani dengan Inferensi Forward Chainning. Input yang dibutuhkan pada sistem ini adalah data jenis gejala dan gejala umum yang diketahui, sedangkan output adalah nilai tingkat keparahan penyakit yang nantinya mengarah pada solusi dari tiap kasus. Dari hasil uji coba sistem yang dilakukan oleh dokter diperoleh nilai keakuratan sebesar 80% dari 10 kasus yang dilakukan.",,,,,
8,"Pengertian jenis kelamin adalah merupakan suatu akibat dari dimorfisme seksual. Telah dilakukan penelitian di Jepang bahwa burung gagak dapat membedakan jenis kelamin sebuah individu. Salah satu bentuk penerapan penentuan jenis kelamin (Jender) ini adalah mengetahui bentuk mata dan hidung seseorang sehingga bentuk mata dan hidung tersebut dapat dikenali oleh komputer dan disimpan dalam database. Pada penelitian Tugas Akhir terdapat dua tahapan, yaitu tahapan pertama menghitung ekstraksi fitur mata dan hidung menggunakan Gray Level Run Length Matrix untuk menghasilkan pola mata dan hidung. Tahap kedua menghitung jarak kemiripan menggunakan Euclidean Distance, yaitu semakin rendah nilai jarak suatu citra maka akan semakin tinggi tingkat kemiripannya. Penelitian Tugas Akhir ini dilakukan uji coba pada 200 gambar mata dan hidung didalam database yang akan dibagi menjadi dua kelas yaitu laki - laki dan perempuan untuk dilakukan ekstraksi fitur menggunakan Gray Level Run Length Matrix dan hasil ekstraksi fitur akan dilakukan pengukuran jarak kemiripan menggunakan metode Euclidean Distance. Setelah didapat nilai hasil pengukuran jarak kemiripan terhadap kedua kelas, nilai tersebut akan dirata � rata untuk mendapatkan hasil yang diinginkan. Dari hasil uji coba perbandingan rata � rata nilai hasil pengukuran Euclidean Distance diperoleh akurasi sebesar 75% pada 20 data uji coba dan 180 dengan jumlah citra yang ditampilkan adalah 5.",,,,,
9,"Penjiplakan merupakan masalah yang sering muncul dan semakin berkembang terutama dalam bidang pendidikan. Banyak karya tulis yang sebagian bahkan seluruh isinya dibuat dengan menjiplak dari karya tulis orang lain. Untuk mengatasi masalah tersebut, salah satunya solusinya adalah dengan dibuatnya aplikasi yang dapat mengelompokan dokumen dan mendeteksi penjiplakan pada dokumen tersebut. Pada tugas akhir ini dibuat aplikasi yang dapat mendeteksi penjiplakan antar dokumen yaitu dengan membandingkan antar dokumen. Dalam melakukan pendeteksian penjiplakan dokumen digunakan algoritma Winnowing. Algoritma winnowing ini berfungsi untuk melakukan proses dokumen fingerprint, yaitu dengan merubah teks menjadi sekumpulan nilai - nilai hash. Nilai hash ini yang akan digunakan untuk mendeteksi tingkat kesamaan antar dokumen. Dalam hal pengelompokan dokumen dipergunakan algoritma fuzzy k-means. Dari hasil uji coba aplikasi ini dapat diambil kesimpulan bahwa semakin besar nilai n-gram, basis, dan window maka semakin kecil hasil prosentase kemiripan antar dokumen yaitu dengan menghasilkan sebesar 4.17%, dan sebaliknya semakin kecil nilai n-gram, basis, dan window maka semakin besar prosentase kemiripan antar dokumen yaitu dengan menghasilkan prosentase 98.49%. Pada perhitungan nilai f-measure dipengaruhi oleh keakuratan data yang diproses.",,,,,
10," Komunikasi merupakan hal yang sangat penting dalam kehidupan bermasyarakat, dan semua orang pasti membutuhkan komunikasi sebagai sarana bersosialisasi dengan orang lainnya, tak terkecuali mereka yang memiliki keterbatasan fisik, tuna rungu dan tuna wicara misalnya. SIBI menupakan suatu bahasa yang menggunakan gerakan tangan dan ekspresi wajah, yang merupakan suatu alat komunikasi bagi penderita tuna rungu dan tuna wicara.Dengan latar belakang tersebutlah penelitian ini dilakukan. Penelitian ini bertujuan untuk dapat membuat sistem pengenalan abjad jari pada SIBI, mulai dari abjad �A� hingga �Z�. Metode yang digunakan dalam penelitian ini adalah metode ekstraksi fitur Principal Component Analysis dan pengukuran jarak kedekatan menggunakan Euclidean Distance. Penelitian ini menggunakan 1092 data citra yang akan digunakan sebagai data training dan testing untuk proses uji coba pada sistem yang telah dibuat. Dengan menggunakan metode ekstraksi fitur PCA dan penghitungan jarak dengan Euclidean Distance, dari tiga skenario pengujian yang telah dilakukan pada penelitian ini, menghasilkan tingkat akurasi sebesar 77.11% untuk uji coba dengan memisahkan data training menjadi dua, yaitu data training untuk semua huruf kecuali �J� dan �Z� dan data training huruf �J� dan �Z� saja.",,,,,
